"","time","posX","posY","orientation","mac","signal","rawTime"
"62",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:90",-56,1139692478819
"63",2006-02-11 15:14:38,0,0.05,135,"00:0f:a3:39:dd:cd",-61,1139692478819
"64",2006-02-11 15:14:38,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692478819
"69",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692479071
"70",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:81",-60,1139692479071
"71",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:3b:c7:c6",-59,1139692479071
"72",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692479071
"73",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:dd:cd",-65,1139692479071
"78",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:8a",-40,1139692479323
"79",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:e1:c0",-50,1139692479323
"80",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:90",-49,1139692479323
"81",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692479323
"82",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692479323
"84",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:dd:cd",-63,1139692479323
"88",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692479575
"89",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692479575
"90",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:81",-59,1139692479575
"91",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:3b:c7:c6",-61,1139692479575
"92",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692479575
"94",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692479575
"98",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692479827
"99",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692479827
"100",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:81",-59,1139692479827
"101",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:b1:97:8d",-65,1139692479827
"102",2006-02-11 15:14:39,0,0.05,135,"00:14:bf:3b:c7:c6",-68,1139692479827
"103",2006-02-11 15:14:39,0,0.05,135,"00:0f:a3:39:dd:cd",-67,1139692479827
"107",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692480079
"108",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692480079
"109",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:90",-56,1139692480079
"110",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:3b:c7:c6",-61,1139692480079
"111",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692480079
"113",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:dd:cd",-63,1139692480079
"116",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692480331
"117",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:3b:c7:c6",-61,1139692480331
"118",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:81",-66,1139692480331
"119",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:dd:cd",-66,1139692480331
"120",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:90",-56,1139692480331
"125",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:8a",-40,1139692480583
"126",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:e1:c0",-50,1139692480583
"127",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692480583
"128",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692480583
"131",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:dd:cd",-64,1139692480583
"134",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:8a",-40,1139692480835
"135",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692480835
"136",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:90",-55,1139692480835
"137",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:81",-57,1139692480835
"138",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:3b:c7:c6",-60,1139692480835
"139",2006-02-11 15:14:40,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692480835
"142",2006-02-11 15:14:40,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692480835
"144",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:90",-49,1139692481087
"145",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:e1:c0",-50,1139692481087
"146",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8a",-39,1139692481087
"147",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:3b:c7:c6",-61,1139692481087
"148",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:dd:cd",-66,1139692481087
"152",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8a",-39,1139692481339
"153",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8a",-39,1139692481339
"154",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692481339
"155",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692481339
"156",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:3b:c7:c6",-61,1139692481339
"157",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:81",-60,1139692481339
"158",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:3b:c7:c6",-68,1139692481339
"159",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:dd:cd",-66,1139692481339
"162",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8a",-39,1139692481591
"163",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8a",-40,1139692481591
"164",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692481591
"165",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692481591
"166",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692481591
"167",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692481591
"171",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692481847
"172",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692481847
"173",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692481847
"174",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:3b:c7:c6",-64,1139692481847
"175",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692481847
"176",2006-02-11 15:14:41,0,0.05,135,"00:14:bf:b1:97:81",-68,1139692481847
"179",2006-02-11 15:14:41,0,0.05,135,"00:0f:a3:39:dd:cd",-60,1139692481847
"181",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:8a",-40,1139692482099
"182",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692482099
"183",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692482099
"184",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:dd:cd",-66,1139692482099
"185",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:3b:c7:c6",-64,1139692482099
"188",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:81",-58,1139692482099
"191",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692482351
"192",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692482351
"193",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:90",-55,1139692482351
"194",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692482351
"195",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:3b:c7:c6",-64,1139692482351
"196",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692482351
"197",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692482351
"202",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692482603
"203",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692482603
"204",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692482603
"205",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692482603
"206",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692482603
"211",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:8a",-39,1139692482856
"212",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692482856
"213",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:81",-58,1139692482856
"214",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692482856
"215",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692482856
"216",2006-02-11 15:14:42,0,0.05,135,"00:14:bf:3b:c7:c6",-70,1139692482856
"217",2006-02-11 15:14:42,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692482856
"221",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692483108
"222",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:90",-49,1139692483108
"223",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:e1:c0",-54,1139692483108
"224",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:81",-62,1139692483108
"225",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692483108
"226",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:dd:cd",-63,1139692483108
"227",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:3b:c7:c6",-68,1139692483108
"232",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692483360
"233",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692483360
"234",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:81",-62,1139692483360
"235",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692483360
"238",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:dd:cd",-64,1139692483360
"241",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692483612
"242",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692483612
"243",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692483612
"244",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:dd:cd",-67,1139692483612
"245",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:3b:c7:c6",-68,1139692483612
"249",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692483864
"250",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8a",-42,1139692483864
"251",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8a",-42,1139692483864
"252",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:90",-51,1139692483864
"253",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:3b:c7:c6",-60,1139692483864
"254",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:3b:c7:c6",-60,1139692483864
"255",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:8d",-61,1139692483864
"256",2006-02-11 15:14:43,0,0.05,135,"00:14:bf:b1:97:81",-63,1139692483864
"258",2006-02-11 15:14:43,0,0.05,135,"00:0f:a3:39:dd:cd",-61,1139692483864
"262",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692484116
"263",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8a",-51,1139692484116
"264",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692484116
"265",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:81",-59,1139692484116
"266",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692484116
"267",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:3b:c7:c6",-67,1139692484116
"268",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:dd:cd",-69,1139692484116
"273",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692484368
"274",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:90",-56,1139692484368
"275",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:81",-60,1139692484368
"276",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692484368
"277",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692484368
"278",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:3b:c7:c6",-63,1139692484368
"279",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:dd:cd",-67,1139692484368
"282",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692484624
"283",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692484624
"284",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692484624
"285",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692484624
"286",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:3b:c7:c6",-69,1139692484624
"287",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8d",-61,1139692484624
"289",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:dd:cd",-67,1139692484624
"292",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8a",-41,1139692484876
"293",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:81",-59,1139692484876
"294",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692484876
"295",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692484876
"296",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:81",-68,1139692484876
"297",2006-02-11 15:14:44,0,0.05,135,"00:0f:a3:39:dd:cd",-65,1139692484876
"300",2006-02-11 15:14:44,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692484876
"301",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:8a",-43,1139692485128
"302",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692485128
"303",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692485128
"304",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692485128
"305",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:3b:c7:c6",-63,1139692485128
"307",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692485128
"311",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:8a",-42,1139692485380
"312",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692485380
"313",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:3b:c7:c6",-63,1139692485380
"315",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:dd:cd",-63,1139692485380
"319",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692485632
"320",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692485632
"321",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692485632
"323",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692485632
"324",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:dd:cd",-61,1139692485632
"327",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:dd:cd",-72,1139692485632
"330",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692485884
"331",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692485884
"332",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:90",-56,1139692485884
"333",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692485884
"334",2006-02-11 15:14:45,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692485884
"337",2006-02-11 15:14:45,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692485884
"340",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692486136
"341",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:90",-50,1139692486136
"342",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692486136
"343",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:81",-58,1139692486136
"344",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:3b:c7:c6",-63,1139692486136
"345",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692486136
"347",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:dd:cd",-63,1139692486136
"350",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692486388
"351",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692486388
"352",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692486388
"353",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692486388
"355",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:3b:c7:c6",-63,1139692486388
"356",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692486388
"360",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692486640
"361",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692486640
"362",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692486640
"363",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692486640
"364",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8d",-62,1139692486640
"365",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692486640
"366",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692486640
"367",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:81",-69,1139692486640
"372",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692486892
"373",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:e1:c0",-53,1139692486892
"374",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:90",-56,1139692486892
"375",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:3b:c7:c6",-63,1139692486892
"376",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692486892
"377",2006-02-11 15:14:46,0,0.05,135,"00:14:bf:b1:97:81",-62,1139692486892
"379",2006-02-11 15:14:46,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692486892
"381",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:90",-51,1139692487144
"382",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692487144
"383",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:81",-63,1139692487144
"385",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:dd:cd",-63,1139692487144
"387",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:3b:c7:c6",-67,1139692487144
"389",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692487396
"390",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692487396
"391",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:90",-52,1139692487396
"392",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692487396
"394",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:dd:cd",-61,1139692487396
"396",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:81",-59,1139692487396
"399",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:8a",-40,1139692487652
"400",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:90",-52,1139692487652
"401",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692487652
"402",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:3b:c7:c6",-62,1139692487652
"403",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:81",-62,1139692487652
"404",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:dd:cd",-61,1139692487652
"405",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:8d",-63,1139692487652
"408",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:8a",-38,1139692487904
"409",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:90",-50,1139692487904
"410",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692487904
"411",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:81",-62,1139692487904
"412",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692487904
"413",2006-02-11 15:14:47,0,0.05,135,"00:0f:a3:39:dd:cd",-62,1139692487904
"414",2006-02-11 15:14:47,0,0.05,135,"00:14:bf:3b:c7:c6",-56,1139692487904
"419",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:b1:97:8a",-39,1139692488156
"420",2006-02-11 15:14:48,0,0.05,135,"00:0f:a3:39:e1:c0",-51,1139692488156
"421",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:b1:97:81",-57,1139692488156
"422",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:3b:c7:c6",-60,1139692488156
"423",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:b1:97:90",-58,1139692488156
"424",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:b1:97:8d",-64,1139692488156
"426",2006-02-11 15:14:48,0,0.05,135,"00:0f:a3:39:dd:cd",-63,1139692488156
"429",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:b1:97:8a",-40,1139692488408
"430",2006-02-11 15:14:48,0,0.05,135,"00:0f:a3:39:e1:c0",-52,1139692488408
"431",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:b1:97:90",-57,1139692488408
"432",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:b1:97:81",-61,1139692488408
"433",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:3b:c7:c6",-65,1139692488408
"434",2006-02-11 15:14:48,0,0.05,135,"00:14:bf:3b:c7:c6",-68,1139692488408
